106,96
97,100
96,87
84,102
88,97
96,81
104,89
112,103
100,109
110,137
97,104
74,84
114,106
98,109
101,106
107,118
125,85
86,107
110,80
121,108
106,77
126,107
114,108
116,69
94,100
101,112
100,117
100,103
107,95
100,109
99,120
79,107
100,89
89,103
83,107
101,126
104,101
98,108
91,99
102,103
107,104
88,99
94,109
120,105
115,117
125,113
90,104
98,95
97,93
129,99
129,97
120,111
133,109
92,88
106,94
115,96
101,99
107,97
81,100
97,90
85,96
116,108
98,91
94,80
104,84
95,78
116,99
110,79
116,88
103,97
94,99
119,112
120,124
110,91
94,97
107,97
121,97
117,110
117,95
112,97
119,79
93,102
